reference|nom|prix_ttc|base_lppr|code_lppr|categorie|badges|image_url|description|points_forts|expert|specs|documents|recommande
HX_BSN7149618|Bande adhésive Strappal non élastique 10 m x 2,5 cm|2.85||||||"""""Rouleau de 10 m x 2,5 cmBande adhésive non élastique Strappal 10 m x 4 cm Pouvoir adhésif +++.  Bande constituée d'un support en fibranne rigide enduit sur une seule face d'une masse adhésive à l'oxyde de zinc, exempte de caoutchouc naturel, préparée en vue d'adhérer sur la peau par simple pression. La bande se présente bobinée sur un tube carton imprimé. Indications :   Contention articulaire rigide,  Traumatologie sportive (entorse...),  Orthopédie (luxation congénitale de hanche...),  Tractions adhésives continues.  Caractéristiques :  Pouvoir adhésif élevé,  Sécable à la main  Support inélastique, apporte un soutien,  Découpe à bords dentelés : évite les fils flottants,  Tension de déroulement continue,  Examen radiologique possible sans retrait de la bande,  Stérilisation non recommandée,  Formule sans latex, sans phtalates. Ce que vous achetez :  une boîte contenant une bande.   """""|||||
HX_BSN7296203|Bande adhésive élastique Tenso Club  2,5 m x 10 cm|5.44||||||"""""Rouleau de 2,5 m x 10 cmBande adhésive élastique Tenso Club 2,5 m x 10 cm 100 % coton : excellente tolérance. Pour toutes contentions adhésives souples ou strapping en pathologie articulaire, tendineuse, musculaire et ligamentaire Indications :   Compression en traumatologie musculaire  Traitement élasto-compressif en phlébologie  Fixation de pansements  Fixation d’attelles  Caractéristiques :  100 % coton : excellente tolérance  Lisières tissées : absence de fils flottants  Masse adhésive sans latex  Adhésivité immédiate et prolongée  Élasticité longitudinale nominale de 50 %  Effet de rappel élastique  Grande résistance aux contraintes de force  Élément protecteur gaufré : contrôle de la tension lors de la pose  Aérée par stries $$ évite la macération  Assure le maintien tout en évitant l’immobilisation complète du patient Ce que vous achetez :  une boîte contenant une bande.    """""|||||
HX_BSN7238221|Pansement adhésif transparent stérile avec compresse Leukomed T plus 8 cm x 15 cm|4.67||||||"""""8 cm x 15 cm - Boite de 5Pansement adhésif transparent stérile avec compresse Leukomed T plus 8 cm x 15 cm Post-opératoire avec compressse centrale absorbante.  Indications :   Pansement stérile post-opératoire semi-perméable, prêt à l'emploi, destiné au recouvrement imperméable des plaies, peu à moyennement exsudatives. Caractéristiques :  Permet les activités aquatiques et la toilette quotidienne du patient.  Réduit le risque de contamination.  Imperméables aux liquides, bactéries et virus : protection contre les contaminants externes.  Perméable à l'air et à la vapeur d'eau, laisse la peau respirer et réduit le risque de macération.  Haute tolérance cutanée, même sur peau sensible.  Compresse absorbante, neutre, non adhérente.  Radio-transparent.  Conformable.  Bords arrondis. Ce que vous achetez :  une boite de 5 sachets.   """""|||||
HX_BSN7238220|Pansement adhésif transparent stérile avec compresse Leukomed T plus 8 cm x 10 cm|4.23||||||"""""8 cm x 10 cm - Boite de 5Pansement adhésif transparent stérile avec compresse Leukomed T plus 8 cm x 10 cm Post-opératoire avec compressse centrale absorbante.  Indications :   Pansement stérile post-opératoire semi-perméable, prêt à l'emploi, destiné au recouvrement imperméable des plaies, peu à moyennement exsudatives. Caractéristiques :  Permet les activités aquatiques et la toilette quotidienne du patient.  Réduit le risque de contamination.  Imperméables aux liquides, bactéries et virus : protection contre les contaminants externes.  Perméable à l'air et à la vapeur d'eau, laisse la peau respirer et réduit le risque de macération.  Haute tolérance cutanée, même sur peau sensible.  Compresse absorbante, neutre, non adhérente.  Radio-transparent.  Conformable.  Bords arrondis. Ce que vous achetez :  une boite de 5 sachets.   """""|||||
HX_BSN7238219|Pansement adhésif transparent stérile avec compresse Leukomed T plus 5 cm x 7,2 cm|2.8||||||"""""5 cm x 7,2 cm - Boite de 5Pansement adhésif transparent stérile avec compresse Leukomed T plus 5 cm x 7,2 cm Post-opératoire avec compressse centrale absorbante.  Indications :   Pansement stérile post-opératoire semi-perméable, prêt à l'emploi, destiné au recouvrement imperméable des plaies, peu à moyennement exsudatives. Caractéristiques :  Permet les activités aquatiques et la toilette quotidienne du patient.  Réduit le risque de contamination.  Imperméables aux liquides, bactéries et virus : protection contre les contaminants externes.  Perméable à l'air et à la vapeur d'eau, laisse la peau respirer et réduit le risque de macération.  Haute tolérance cutanée, même sur peau sensible.  Compresse absorbante, neutre, non adhérente.  Radio-transparent.  Conformable.  Bords arrondis. Ce que vous achetez :  une boite de 5 sachets.   """""|||||
HX_BSN7646102|Pansement résistant à l’eau Leukoplast universal 7,2 cm x 1,9 cm|1.3||||||"""""7,2 cm x 1,9 cm. Boite de 20.Pansement résistant à l’eau Leukoplast universal 7,2 cm x 1,9 cm.  Destiné aux peaux sensibles, bonne tolérance cutanée. Indications :   Protection de courte durée de plaies superficielles (coupures, lacérations, abrasions ou à la suite d’une prise de sang ou une vaccination). Caractéristiques :  Résistant à l’eau et aux salissures.  Bon pouvoir adhésif.  Respirant, perméable à la vapeur d’eau, limite la macération.  Conformable et souple. Ce que vous achetez :  une boîte de 20 pansements.   """""|||||
HX_BSN7209709|Bande cohésive de contention Tensoplus Chair  3 m x 10 cm|6.36||||||"""""Rouleau de 3 m x 10 cm. Chair.Bande cohésive de contention Tensoplus Chair 3 m x 10 cm Contention moyenne à forte. Peut être utilisé sur le terrain en urgence en cas de claquage et/ou déchirure musculaire. Indications :   Contention/compression médicale de courte durée.  Fixation de pansements, de dispositifs tels que des attelles, des tubes ou des rembourrages. Caractéristiques :  Support extensible tissé sécable à la main,  Adhère sur elle-même et non sur la peau,  Repositionnable et réutilisable,  Conformable et confortable,  Lavable. Ce que vous achetez :  une bande.   """""|||||
HX_BSN7209708|Bande cohésive de contention Tensoplus Chair  3 m x 8 cm|5.32||||||"""""Rouleau de 3 m x 8 cm. Chair.Bande cohésive de contention Tensoplus Chair 3 m x 8 cm Contention moyenne à forte. Peut être utilisé sur le terrain en urgence en cas de claquage et/ou déchirure musculaire. Indications :   Contention/compression médicale de courte durée.  Fixation de pansements, de dispositifs tels que des attelles, des tubes ou des rembourrages. Caractéristiques :  Support extensible tissé sécable à la main,  Adhère sur elle-même et non sur la peau,  Repositionnable et réutilisable,  Conformable et confortable,  Lavable. Ce que vous achetez :  une bande.   """""|||||
HX_BSN7160200|Spray adhésif protecteur Tensospray Spray 300 ml|8.74||||||"""""300 ml.Spray adhésif protecteur Tensospray Spray 300 ml Effet collant anti-glisse. Permet la fixation de Tensoban. Indications :   Protection des téguments sous contention adhésive,  Permet la fixation de Tensoban. Caractéristiques :  Film protecteur incolore,  Isole les téguments des masses adhésives, évitant les risques d’intolérance cutanée,  Sans CFC : respecte la couche d’ozone. Ce que vous achetez :  un spray.  """""|||||
HX_BSN4742302|Poche de froid instantané à usage unique Tensocold Pack 24 cm x 14.5 cm|1.08||||||"""""24 cm x 14,5 cm. Usage unique. Poche de froid instantané à usage unique Tensocold Pack 24 cm x 14.5 cm Ne nécessite pas de réfrigération préalable et permet de soualger les douleurs musculaire rapidement. Indications :   Traumatologie sportive : traitement des lésions et des inflammations tendinomusculaires ou articulaires (tendinites, entorses, luxations, déchirures musculaires, claquages, élongations).  Contusions-Hématomes.  Hyperthermie (exemple fièvre).  Insolation. Caractéristiques :  Poche à deux compartiments dont le mélange, après rupture, est générateur de froid par réaction endothermique extemporanée.  Le mélange d'urée et d'eau génère un froid instantané, sans stockage préalable au réfrigérateur.  Particulièrement adapté à vos activités sportives, sur votre lieu de travail, ou lors vos déplacements.  Maintien le froid durant environ 30 mn.  Sans latex, sans phtalates. Ce que vous achetez :  une poche de 24 cm x 14,5 cm.  """""|||||
HX_BSN7150009|Spray cryogène Tensocold 400 ml|6.58||||||"""""400 ml.Spray cryogène Tensocold 400 ml  Conçu pour la traumatologie sportive, soulage rapidement la douleur. Indications :   Traumatologie sportive : traitement des lésions et des inflammations tendino-musculaires ou articulaires (tendinites, luxations, déchirures musculaires, claquages, élongations). Caractéristiques :  Gaz incolore : ne tâche pas.  Composition : diméthylether.  Ne contient pas de CFC.   Analgésique local en traumatologie du sport.  Sans latex, sans phtalates. Ce que vous achetez :  un spray.   """""|||||
HX_BSN7616800|Bande adhésive non élastique Leukotape P 38 mm x 13,7m|9.53||||||"""""Rouleau de 38 mm x 13,7 m.Bande adhésive non élastique Leukotape P 38 mm x 13,7m  Pouvoir adhésif ++++. Spécial rugby et patella. Bande adhésive non élastique (rigide) enduite d'une masse adhésive à l'oxyde zinc et caoutchouc. Indications :   Traumatologie sportive notamment pour des applications spéciales telle que la technique Mc Connell lors de douleurs femoro-patellaires.  Contention rigide ou contention adhésive mixte (strapping). Caractéristiques :  Pouvoir adhésif très élevé,  Très forte résistance à la traction,  Hydrophobe,  Facile à dérouler,  Grâce à sa structure non élastique et à son important pouvoir, adhésif, Leukotape P constitue un strapping rigide limitant les pertes de pression. Ce que vous achetez :  une boîte contenant une bande.   """""|||||
HX_BSN7207517|Poche de gel réutilisable chaud/froid Actimove Physiopack 16 cm x 26 cm|8.48||||||"""""16 x 26 cm.Poche de gel réutilisable chaud/froid Actimove Physiopack 16 cm x 26 cm Confortable : conserve sa souplesse à froid comme à chaud. Indications :   Traumatologie sportive : traitement des lésions musculaires, tendineuses et ligamentaires (tendinites, entorses, luxations, déchirures, élongations, claquages, hématomes, douleurs post-opératoires).  Caractéristiques :  Utilisation, à chaud ou à froid, jusqu'à 30 minutes.  Poche réutilisable, se nettoie facilement après chaque utilisation.  Formule sans latex, sans phtalates. Ce que vous achetez : une poche.  """""|||||
HX_BSN7207516|Poche de gel réutilisable chaud/froid Actimove Physiopack  12 cm x 29 cm avec housse|5.44||||||"""""12 x 29 cm. Avec housse.Poche de gel réutilisable chaud/froid Actimove Physiopack  12 cm x 29 cm avec housse Confortable : conserve sa souplesse à froid comme à chaud. Indications :   Traumatologie sportive : traitement des lésions musculaires, tendineuses et ligamentaires (tendinites, entorses, luxations, déchirures, élongations, claquages, hématomes, douleurs post-opératoires).  Caractéristiques :  Utilisation, à chaud ou à froid, jusqu'à 30 minutes.  Poche réutilisable, se nettoie facilement après chaque utilisation.  Formule sans latex, sans phtalates. Ce que vous achetez : une poche avec housse.  """""|||||
HX_BSN7207514|Poche de gel réutilisable chaud/froid Actimove Physiopack 7,5 cm x 10 cm avec housse|7.81||||||"""""7,5 x 10 cm. Avec housse.Poche de gel réutilisable chaud/froid Actimove Physiopack 7,5 cm x 10 cm avec housse Confortable : conserve sa souplesse à froid comme à chaud. Indications :   Traumatologie sportive : traitement des lésions musculaires, tendineuses et ligamentaires (tendinites, entorses, luxations, déchirures, élongations, claquages, hématomes, douleurs post-opératoires).  Caractéristiques :  Utilisation, à chaud ou à froid, jusqu'à 30 minutes.  Poche réutilisable, se nettoie facilement après chaque utilisation.  Formule sans latex, sans phtalates. Ce que vous achetez : une poche avec housse.  """""|||||
HX_BSN7645906|Pansement adhésif tissé résistant Leukoplast strong 1 m x 8 cm|2.79||||||"""""1 m x 8 cmPansement adhésif tissé résistant Leukoplast strong  7,5 cm x 3,8 cm  Pour premiers soins, formats spécialement conçus pour les bouts de doigts et les plaies de la main.  Indications :   Soins de courte durée de plaies superficielles (coupures, lacérations, abrasions ou à la suite d’une prise de sang, une vaccination). Caractéristiques :  Support résistant.  Hautement élastique, conformable.  Fort pouvoir adhésif.  Forte tenue dans le temps.  Support déperlant.  Perméable à l’air et à la vapeur d’eau, limite le risque de macération.  Compresse absorbante et non adhérente à la plaie.  Avec latex. Ce que vous achetez :  une unité.   """""|||||
